NAME,,B25040_004E,B25040_001E,Electric Ratio,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,,,,
Geographic,Area,Estimate!!Total!!Electricity,Estimate!!Total,,Margin of Error!!Total,Estimate!!Total!!Utility gas,Margin of Error!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas",Margin of Error!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Margin of Error!!Total!!Coal or coke,Estimate!!Total!!Wood,Margin of Error!!Total!!Wood,Estimate!!Total!!Solar energy,Margin of Error!!Total!!Solar energy,Estimate!!Total!!Other fuel,Margin of Error!!Total!!Other fuel,Estimate!!Total!!No fuel used,Margin of Error!!Total!!No fuel used,Name,,,
Tilden,"village,",52,299,0.173913043,66,232,56,15,20,25,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Tilton,"village,",115,1219,0.094339623,107,1104,124,0,119,56,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Timberlane,"village,",0,301,0,67,287,68,11,8,119,0,119,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Time,"village,",0,4,0,6,4,6,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Tinley,Park,1211,20340,0.059537856,436,19027,509,60,42,227,15,24,0,119,6,13,0,119,14,23,7,13,"village,",Illinois,,
Tiskilwa,"village,",8,367,0.021798365,52,352,52,0,119,8,0,119,0,119,4,7,0,119,0,119,3,4,Illinois,,,
Toledo,"village,",84,581,0.144578313,84,462,80,27,20,37,0,119,0,119,8,10,0,119,0,119,0,119,Illinois,,,
Tolono,"village,",178,1436,0.123955432,136,1193,125,34,36,72,0,119,0,119,18,28,0,119,13,19,0,119,Illinois,,,
Toluca,"city,",137,656,0.208841463,55,511,54,4,6,41,0,119,0,119,0,119,0,119,0,119,4,6,Illinois,,,
Tonica,"village,",25,274,0.091240876,39,239,41,8,8,13,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Topeka,"village,",0,18,0,11,13,9,4,5,119,0,119,0,119,0,119,0,119,1,3,0,119,Illinois,,,
Toulon,"city,",77,526,0.146387833,53,421,50,24,14,39,0,119,0,119,0,119,0,119,4,6,0,119,Illinois,,,
Tovey,"village,",15,237,0.063291139,40,215,38,7,10,17,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Towanda,"village,",16,253,0.063241107,53,237,53,0,119,16,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Tower,Hill,21,269,0.078066914,62,235,59,13,11,15,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Tower,Lakes,10,473,0.021141649,55,460,54,3,5,10,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Tremont,"village,",205,841,0.243757432,97,614,84,16,18,75,0,119,0,119,6,10,0,119,0,119,0,119,Illinois,,,
Trenton,"city,",179,1129,0.158547387,71,926,96,12,12,56,0,119,0,119,0,119,0,119,6,9,6,9,Illinois,,,
Trout,Valley,5,181,0.027624309,38,176,40,0,119,5,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Troy,"city,",567,3118,0.181847338,147,2494,156,11,19,130,36,35,0,119,0,119,0,119,10,17,0,119,Illinois,,,
Troy,Grove,6,97,0.06185567,32,90,31,0,119,6,1,4,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Tuscola,"city,",449,1818,0.246974697,127,1369,150,0,119,129,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Twin,Grove,48,558,0.086021505,54,510,76,0,119,48,0,119,0,119,0,119,0,119,0,119,0,119,"CDP,",Illinois,,
Ullin,"village,",112,239,0.468619247,59,106,36,4,6,42,0,119,0,119,17,16,0,119,0,119,0,119,Illinois,,,
Union,"village,",3,238,0.012605042,42,235,42,0,119,7,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Union,Hill,0,19,0,12,19,12,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
University,Park,185,2690,0.068773234,225,2486,213,11,15,115,0,119,0,119,0,119,0,119,8,13,0,119,"village,",Illinois,,
Urbana,"city,",5897,15666,0.376420273,737,9428,598,208,95,527,11,20,9,14,51,41,0,119,20,22,42,32,Illinois,,,
Ursa,"village,",79,289,0.273356401,51,188,40,6,10,32,0,119,0,119,0,119,0,119,16,25,0,119,Illinois,,,
Valier,"village,",71,257,0.276264591,57,182,43,0,119,37,0,119,0,119,4,7,0,119,0,119,0,119,Illinois,,,
Valley,City,0,0,#DIV/0!,119,0,119,0,119,119,0,119,0,119,0,119,0,119,0,119,0,119,"village,",Illinois,,
Valmeyer,"village,",119,567,0.209876543,74,427,63,12,11,43,0,119,0,119,9,10,0,119,0,119,0,119,Illinois,,,
Vandalia,"city,",265,2097,0.126371006,140,1773,158,21,20,103,7,11,0,119,14,16,0,119,8,12,9,16,Illinois,,,
Varna,"village,",10,149,0.067114094,32,130,28,4,6,14,2,3,0,119,3,4,0,119,0,119,0,119,Illinois,,,
Venedy,"village,",11,52,0.211538462,18,36,16,3,4,6,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Venetian,Village,16,1201,0.013322231,113,1170,119,0,119,24,0,119,0,119,9,15,0,119,6,11,0,119,"CDP,",Illinois,,
Venice,"city,",223,674,0.330860534,71,438,69,0,119,63,6,9,0,119,4,6,0,119,0,119,3,6,Illinois,,,
Vergennes,"village,",35,120,0.291666667,25,80,24,5,5,16,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Vermilion,"village,",5,85,0.058823529,26,77,26,0,119,10,0,119,0,119,0,119,0,119,3,4,0,119,Illinois,,,
Vermont,"village,",45,358,0.125698324,53,299,48,11,13,29,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Vernon,"village,",2,50,0.04,18,35,18,8,8,4,0,119,0,119,5,5,0,119,0,119,0,119,Illinois,,,
Vernon,Hills,1175,9001,0.130541051,257,7647,309,89,57,190,11,16,0,119,0,119,0,119,23,23,56,64,"village,",Illinois,,
Verona,"village,",2,91,0.021978022,22,89,23,0,119,3,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Versailles,"village,",59,223,0.264573991,53,158,45,6,7,38,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Victoria,"village,",2,145,0.013793103,33,132,31,0,119,3,4,4,0,119,7,12,0,119,0,119,0,119,Illinois,,,
Vienna,"city,",286,692,0.413294798,92,396,68,7,9,67,0,119,0,119,3,5,0,119,0,119,0,119,Illinois,,,
Villa,Grove,178,1072,0.166044776,85,876,97,13,15,70,0,119,0,119,0,119,0,119,5,8,0,119,"city,",Illinois,,
Villa,Park,730,8419,0.086708635,255,7583,298,28,34,186,68,58,0,119,0,119,0,119,10,18,0,119,"village,",Illinois,,
Viola,"village,",33,425,0.077647059,63,364,55,21,20,38,3,4,0,119,0,119,0,119,4,6,0,119,Illinois,,,
Virden,"city,",231,1482,0.155870445,124,1251,147,0,119,97,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
Virgil,"village,",39,121,0.32231405,32,4,4,69,27,22,3,5,0,119,6,11,0,119,0,119,0,119,Illinois,,,
Virginia,"city,",128,671,0.19076006,60,531,54,10,10,38,0,119,0,119,2,3,0,119,0,119,0,119,Illinois,,,
Volo,"village,",10,799,0.012515645,115,779,116,4,6,16,0,119,0,119,0,119,6,9,0,119,0,119,Illinois,,,
Wadsworth,"village,",69,1281,0.053864169,88,1182,101,8,12,43,0,119,0,119,22,23,0,119,0,119,0,119,Illinois,,,
Waggoner,"village,",8,76,0.105263158,22,68,22,0,119,6,0,119,0,119,0,119,0,119,0,119,0,119,Illinois,,,
